asset.name,collection_slug,total_price,quantity,asset.num_sales,payment_token.usd_price,total_price_usd
,animo-official,0.3189,2,8.0,3950.54,629.9136030000001
,avius-animae,0.08399999999999999,2,2.0,3950.54,165.92268
,baby-cub-tigers,0.06,1,2.0,1975.8,118.54799999999999
,bakedape,0.25,1,1.0,1975.27,493.8175
,barn-owlz,0.06,1,3.0,1975.27,118.5162
,basicboredapeclub,0.072,2,6.0,3950.54,142.21944
,bladerunner-punks,0.39,4,10.0,7901.08,770.3552999999999
,boozebears,0.03,1,2.0,1975.27,59.2581
,bscwin-bulls,0.1,1,1.0,1975.27,197.52700000000002
,bunny-buddies,1.391,7,16.0,13826.89,2747.60057
,caboodles,0.199,2,5.0,3950.54,393.07873000000006
,capsulehouse,1.232,1,6.0,1975.27,2433.53264
,citizenz-nft,0.11750000000000001,2,4.0,3950.54,232.094225
,creepzdao,0.045,2,2.0,3950.54,88.88715
,cybergorillasnftofficial,0.5509999999999999,4,13.0,7901.08,1088.37377
,cyclopsapeyachtclub,0.03,1,1.0,1975.27,59.2581
,da-wasteland,0.051,1,1.0,1975.27,100.73876999999999
,dennisrodmansbarbershop,0.5659,7,14.0,13826.89,1117.805293
,divineanarchy,0.32,2,3.0,3950.54,632.0864
,doodlecatsnfts,0.03,1,1.0,1975.27,59.2581
,doodlefrensnft,0.15000000000000002,2,3.0,3950.54,296.2905
,doomers,0.59,3,6.0,5925.8099999999995,1165.4093
,dr-ethvils-3d-frankenpunks,2.133144,7,20.0,13826.89,4213.53534888
,feudalz,0.13,1,6.0,1975.27,256.7851
,feudalz-landz,0.4545,5,7.0,9876.35,897.760215
,feudalz-orcz,0.029,1,1.0,1975.27,57.282830000000004
,future-turtles-genesis-1,0.05,1,1.0,1975.27,98.76350000000001
,golemz-genesis,0.105,1,3.0,1975.27,207.40335
,gooniezgangofficial,2.1470000000000002,6,14.0,11851.619999999999,4240.90469
,grandpaape,0.533333,11,20.0,21727.97,1053.47667491
,guppygang,0.27,1,1.0,1975.27,533.3229
,gutter-punks,0.0299,1,1.0,1975.27,59.060573
,hashguise-gen-1,0.01,1,3.0,1975.27,19.7527
,iceworldnft,0.01,1,1.0,1975.27,19.7527
,idolsnft,0.25,1,1.0,1975.27,493.8175
,join55unity,0.1,1,1.0,1975.27,197.52700000000002
,jpunks-og-rex,1.0565,4,7.0,7901.08,2086.872755
,kureiji-nft-official,0.1,1,3.0,1975.27,197.52700000000002
,lazy-lions,1.71,1,3.0,1975.27,3377.7117
,lil-heroes-by-edgar-plans,14.5199,9,17.0,17777.43,28680.722873
,liquid-legends,0.07,1,1.0,1975.27,138.2689
,maniakaliens,0.0298,1,1.0,1975.27,58.863046
,meekoworld,0.0029999,1,1.0,1975.27,5.925612472999999
,meme-vip,0.8981,8,8.0,15802.16,1773.989987
,metamindz,0.2,1,1.0,1975.27,395.05400000000003
,mev-army,0.934,5,13.0,9876.35,1844.90218
,moshimochi,0.295,2,5.0,3950.54,582.70465
,n3ddeprecated,0.523988888888,4,4.0,7901.08,1035.0195325537998
,no-brainers-official,0.065,1,1.0,1975.27,128.39255
,nottodayclubofficial,0.1049,2,4.0,3950.54,207.205823
,old-ape-country-club-official,0.018,1,1.0,1975.27,35.55486
,peepedles,0.11,1,2.0,1975.27,217.2797
,pepeliberationarmy-v2,0.02,1,1.0,1975.27,39.5054
,pixiejars,0.019,1,1.0,1975.27,37.53013
,pjpp,0.8598,1,3.0,1975.27,1698.337146
,primeapeplanetpap,17.694,6,25.0,11851.619999999999,34950.42738
,primeapesclub,0.03,1,1.0,1975.27,59.2581
,proof-moonbirds,70.519,6,18.0,11851.619999999999,139294.06513
,queenapes,0.119,1,1.0,1975.27,235.05713
,rainbowcatsnft,0.076,1,3.0,1975.27,150.12052
,rowdyroos,0.118,1,2.0,1975.27,233.08185999999998
,rubberduckz,2.1375,5,19.0,9876.35,4222.139625
,shadow-quest,1.2,1,2.0,1975.27,2370.324
,silks-genesis-avatars,0.8,4,5.0,7901.08,1580.2160000000001
,skuxxversepass,3.0370000000000004,5,16.0,9876.35,5998.89499
,smolphunks,0.038,2,2.0,3950.54,75.06026
,social-bees-university,0.235,2,2.0,3950.54,464.18845
,the-banksters,0.45799999999999996,3,10.0,5925.8099999999995,904.67366
,the-squids-official,0.29000000000000004,2,5.0,3950.54,572.8283
,theclownzgang,0.01,1,1.0,1975.27,19.7527
,thecockadoodles,0.775,5,7.0,9876.35,1530.8342499999999
,thecyberlegends,0.35,1,3.0,1975.27,691.3444999999999
,thejackedapeclub,0.3709,3,7.0,5925.8099999999995,732.627643
,thelastsupperofficial,0.4,2,5.0,3951.0699999999997,790.2405
